Professione1;Professione2;common skilz
Addetti alla gestione degli stock;Dirigenti nei servizi di vendita e commercializzazione;28
Addetti alla gestione degli stock;Addetti a servizi statistici, finanziari e assicurativi;26
Addetti alla gestione degli stock;Agenti immobiliari e amministratori;35
Addetti alla gestione degli stock;Segretari addetti a mansioni amministrative ed esecutive;33
Addetti alla gestione degli stock;Sviluppatori di software;26
Addetti alla gestione degli stock;Dirigenti dell'industria manifatturiera;36
Addetti alla gestione degli stock;Addetti alla gestione amministrativa dei trasporti;32
Addetti alla gestione degli stock;Tecnici per la gestione dell'informazione e della comunicazione;37
Addetti alla gestione degli stock;Disegnatori industriali;28
Addetti alla gestione degli stock;Chef;25
Addetti alla gestione degli stock;Responsabili degli acquisti;34
Addetti alla gestione degli stock;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;31
Addetti alla gestione degli stock;Sviluppatori Web e multimediali;23
Addetti alla gestione degli stock;Dirigenti nel settore ricerca e sviluppo;28
Addetti alla gestione degli stock;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;27
Addetti alla gestione degli stock;Grafici e progettisti multimediali;22
Addetti alla gestione degli stock;Specialisti della pubblicitˆ e del marketing;25
Addetti alla gestione degli stock;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;33
Addetti alla gestione degli stock;Dirigenti nei servizi finanziari;27
